wild_mut,H ALTS910101,H BENS940101,H BENS940102,H BENS940103,H BENS940104,H CSEM940101,H DAYM780301,H FEND850101,H FITW660101,H GEOD900101,H GONG920101,H GRAR740104,H HENS920101,H HENS920102,H HENS920103,H JOHM930101,H JOND920103,H JOND940101,H KOLA920101,H LEVJ860101,H LUTR910101,H LUTR910102,H LUTR910103,H LUTR910104,H LUTR910105,H LUTR910106,H LUTR910107,H LUTR910108,H LUTR910109,H MCLA710101,H MCLA720101,H MIYS930101,H MIYT790101,H MOHR870101,H NIEK910101,H NIEK910102,H OVEJ920101,H QU_C930101,H QU_C930102,H QU_C930103,H RISJ880101,H TUDE900101,H AZAE970101,H AZAE970102,H RIER950101,H WEIL970101,H WEIL970102,H MEHP950101,H MEHP950102,H MEHP950103,H KAPO950101,H VOGG950101,H BLAJ010101,H PRLA000101,H PRLA000102,H QUIB020101,H NAOD960101,H RUSR970101,H RUSR970102,H RUSR970103,H OGAK980101,H KANM000101,H NGPC000101,H MUET010101,H MUET020101,H MUET020102,H LINK010101,H DOSZ010102,H DOSZ010103,H DOSZ010104,H GIAG010101,H HENS920104,H DAYM780302,H DOSZ010101,H OVEJ920102,H OVEJ920103,H OVEJ920104,H OVEJ920105
GQ,-3.0,-1.6,-1.4,-1.1,-2.1,-0.13,-1.0,2.0,2.0,10.0,-1.0,87.0,-2.0,-3.0,-4.0,-2.8,-1.0,-1.0,0.0,0.0,-8.0,3.0,2.0,5.0,3.0,4.0,-6.0,3.0,4.0,2.0,0.0,-0.14,2.48,8.0,-0.28,-0.32,-2.0,0.494,0.0,2.0,0.2,-10.0,0.0,0.0,68.0,0.0,2.0,1.11,0.78,1.22,16.3,4.2,-3.0,-0.12,-0.24,-0.3,0.0,-1.0,0.0,0.0,-7.6,-20.0,-2.0,-3.5,-3.0,-1.0,0.016,-2.6,-1.3,-1.25,0.5,-2.0,-6.0,-9.0,0.031,0.033,0.054,0.013
QG,-3.0,-1.6,-1.4,-1.1,-2.1,-0.13,-1.0,2.0,2.0,10.0,-1.0,87.0,-2.0,-3.0,-4.0,-2.8,-1.0,-1.0,0.0,0.0,-8.0,3.0,2.0,5.0,3.0,4.0,-6.0,3.0,4.0,2.0,0.0,-0.14,2.48,8.0,-0.28,-0.32,-2.0,0.494,0.0,2.0,0.2,-10.0,0.0,0.0,68.0,0.0,2.0,1.11,0.78,1.22,16.3,4.2,-3.0,-0.12,-0.24,-0.3,0.0,-1.0,0.0,0.0,-7.6,-20.0,-2.0,-3.5,-3.0,-1.0,0.022,-2.03,-1.0,-1.93,-0.5,-2.0,-6.0,-8.4,0.021,0.02,0.025,0.009
GE,-1.0,0.5,0.5,-0.5,1.4,-0.23,0.0,4.0,1.0,6.0,-0.8,98.0,-2.0,-3.0,-4.0,-2.5,0.0,3.0,0.0,0.0,-6.0,8.0,1.0,8.0,4.0,13.0,-4.0,3.0,6.0,3.0,0.0,0.13,2.78,6.0,-0.45,-0.46,-2.0,0.164,0.0,-1.0,0.3,-5.0,1.0,0.0,43.0,-2.0,0.0,1.06,0.87,1.15,19.3,4.4,0.0,-0.41,-1.8,0.5,0.0,3.0,-1.0,1.0,-7.4,-23.0,-3.0,-6.5,-2.0,-1.0,0.007,-1.59,-3.0,-1.17,0.0,-3.0,-3.0,-10.8,0.042,0.033,0.047,0.037
EG,-1.0,0.5,0.5,-0.5,1.4,-0.23,0.0,4.0,1.0,6.0,-0.8,98.0,-2.0,-3.0,-4.0,-2.5,0.0,3.0,0.0,0.0,-6.0,8.0,1.0,8.0,4.0,13.0,-4.0,3.0,6.0,3.0,0.0,0.13,2.78,6.0,-0.45,-0.46,-2.0,0.164,0.0,-1.0,0.3,-5.0,1.0,0.0,43.0,-2.0,0.0,1.06,0.87,1.15,19.3,4.4,0.0,-0.41,-1.8,0.5,0.0,3.0,-1.0,1.0,-7.4,-23.0,-3.0,-6.5,-2.0,-1.0,0.021,-0.89,-1.9,-2.17,0.0,-3.0,-3.0,-7.7,0.048,0.015,0.028,0.008
GG,5.0,5.8,6.2,6.6,4.2,1.0,5.0,6.0,0.0,10.0,6.6,0.0,7.0,8.0,9.0,8.0,5.0,6.0,10.0,2.0,39.0,52.0,29.0,53.0,59.0,48.0,41.0,37.0,54.0,8.0,6.0,0.43,0.0,16.0,1.0,1.0,5.0,1.0,0.0,8.0,2.2,100.0,24.0,18.0,100.0,4.0,-2.0,0.86,0.97,1.5,26.8,11.8,16.0,4.36,11.64,7.5,12.0,0.0,6.0,1.0,-4.2,67.0,9.0,7.0,8.0,7.0,0.691,7.98,7.8,9.29,0.0,8.0,6.0,1.2,0.37,0.623,0.455,0.732
HA,-3.0,-2.1,-1.6,-1.0,-2.1,-0.11,-1.0,2.0,2.0,10.0,-0.8,86.0,-2.0,-2.0,-3.0,-3.1,-2.0,-3.0,0.0,0.0,-4.0,-2.0,-5.0,-30.0,-11.0,2.0,-3.0,-6.0,-4.0,3.0,0.0,-0.21,2.17,11.0,-0.18,-0.2,-2.0,0.356,0.523,4.0,-0.6,-10.0,-2.0,-2.0,71.0,0.0,2.0,1.17,0.79,1.04,11.5,4.4,-2.0,-1.42,-3.01,-1.4,-1.0,-1.0,-2.0,0.0,-7.7,-19.0,-3.0,-3.0,-2.0,-1.0,0.019,-4.62,1.4,-2.56,0.2,-2.0,-6.0,6.8,0.01,0.003,0.013,0.005
AH,-3.0,-2.1,-1.6,-1.0,-2.1,-0.11,-1.0,2.0,2.0,10.0,-0.8,86.0,-2.0,-2.0,-3.0,-3.1,-2.0,-3.0,0.0,0.0,-4.0,-2.0,-5.0,-30.0,-11.0,2.0,-3.0,-6.0,-4.0,3.0,0.0,-0.21,2.17,11.0,-0.18,-0.2,-2.0,0.356,0.523,4.0,-0.6,-10.0,-2.0,-2.0,71.0,0.0,2.0,1.17,0.79,1.04,11.5,4.4,-2.0,-1.42,-3.01,-1.4,-1.0,-1.0,-2.0,0.0,-7.7,-19.0,-3.0,-3.0,-2.0,-1.0,0.011,-5.12,0.2,-2.48,-0.2,-2.0,-6.0,0.2,0.037,0.007,0.048,0.009
HR,1.0,1.8,1.5,1.0,3.6,0.13,2.0,4.0,1.0,5.0,0.6,29.0,0.0,0.0,0.0,0.1,2.0,5.0,5.0,0.0,-1.0,5.0,0.0,4.0,-7.0,11.0,0.0,2.0,2.0,5.0,0.0,0.11,0.82,10.0,0.15,0.19,0.0,0.093,0.392,2.0,-0.4,0.0,4.0,2.0,42.0,0.0,0.0,1.06,0.92,1.02,13.7,5.8,2.0,0.54,0.7,1.5,3.0,2.0,2.0,3.0,-8.1,3.0,-4.0,-4.5,1.0,1.0,0.038,-2.7,1.1,0.01,-0.1,0.0,-1.0,-6.0,0.021,0.023,0.023,0.008
RH,1.0,1.8,1.5,1.0,3.6,0.13,2.0,4.0,1.0,5.0,0.6,29.0,0.0,0.0,0.0,0.1,2.0,5.0,5.0,0.0,-1.0,5.0,0.0,4.0,-7.0,11.0,0.0,2.0,2.0,5.0,0.0,0.11,0.82,10.0,0.15,0.19,0.0,0.093,0.392,2.0,-0.4,0.0,4.0,2.0,42.0,0.0,0.0,1.06,0.92,1.02,13.7,5.8,2.0,0.54,0.7,1.5,3.0,2.0,2.0,3.0,-8.1,3.0,-4.0,-4.5,1.0,1.0,0.014,-2.33,1.8,-0.2,0.1,0.0,-1.0,-1.1,0.019,0.038,0.033,0.015
HN,2.0,1.4,1.4,1.2,1.8,0.32,2.0,4.0,1.0,9.0,1.2,68.0,1.0,1.0,1.0,1.7,1.0,3.0,5.0,0.0,2.0,6.0,3.0,-3.0,14.0,13.0,2.0,5.0,13.0,4.0,1.0,0.21,1.29,10.0,0.04,0.04,2.0,0.299,0.305,2.0,-0.3,8.0,5.0,2.0,89.0,0.0,-1.0,1.13,0.78,1.18,18.9,6.4,5.0,0.76,1.77,1.4,2.0,7.0,4.0,3.0,-6.8,12.0,4.0,2.5,1.0,1.0,0.041,-1.65,0.8,0.68,0.3,1.0,1.0,-6.1,0.043,0.035,0.035,0.058
NH,2.0,1.4,1.4,1.2,1.8,0.32,2.0,4.0,1.0,9.0,1.2,68.0,1.0,1.0,1.0,1.7,1.0,3.0,5.0,0.0,2.0,6.0,3.0,-3.0,14.0,13.0,2.0,5.0,13.0,4.0,1.0,0.21,1.29,10.0,0.04,0.04,2.0,0.299,0.305,2.0,-0.3,8.0,5.0,2.0,89.0,0.0,-1.0,1.13,0.78,1.18,18.9,6.4,5.0,0.76,1.77,1.4,2.0,7.0,4.0,3.0,-6.8,12.0,4.0,2.5,1.0,1.0,0.015,-2.2,2.0,0.53,-0.3,1.0,1.0,-1.9,0.054,0.073,0.087,0.028
HD,0.0,0.1,0.3,0.4,1.7,0.22,1.0,3.0,1.0,5.0,0.4,81.0,0.0,-2.0,-2.0,-0.7,0.0,3.0,6.6,0.0,-5.0,5.0,1.0,7.0,12.0,24.0,-3.0,3.0,17.0,4.0,0.0,0.18,1.72,9.0,-0.01,0.0,0.0,-0.117,0.067,0.0,-1.3,10.0,8.0,4.0,61.0,-1.0,0.0,1.05,0.68,1.63,17.2,5.6,1.0,-0.01,0.32,0.5,3.0,2.0,2.0,3.0,-8.1,-7.0,-1.0,-3.5,0.0,0.0,0.039,-1.56,-1.4,-0.35,0.2,-1.0,-3.0,-8.0,0.012,0.006,0.021,0.002
DH,0.0,0.1,0.3,0.4,1.7,0.22,1.0,3.0,1.0,5.0,0.4,81.0,0.0,-2.0,-2.0,-0.7,0.0,3.0,6.6,0.0,-5.0,5.0,1.0,7.0,12.0,24.0,-3.0,3.0,17.0,4.0,0.0,0.18,1.72,9.0,-0.01,0.0,0.0,-0.117,0.067,0.0,-1.3,10.0,8.0,4.0,61.0,-1.0,0.0,1.05,0.68,1.63,17.2,5.6,1.0,-0.01,0.32,0.5,3.0,2.0,2.0,3.0,-8.1,-7.0,-1.0,-3.5,0.0,0.0,0.008,-2.59,0.2,-0.65,-0.2,-1.0,-3.0,-2.7,0.027,0.014,0.056,0.004
HC,-4.0,-1.2,-1.5,-1.3,-1.6,0.18,-3.0,2.0,2.0,9.0,-1.3,174.0,-3.0,-4.0,-7.0,-8.2,0.0,-1.0,9.0,0.0,-23.0,-20.0,0.0,-30.0,-33.0,-2.0,-23.0,-5.0,-12.0,3.0,0.0,-0.29,2.56,10.0,-0.04,-0.01,-6.0,0.527,0.425,4.0,-1.8,3.0,-2.0,-1.0,69.0,0.0,3.0,1.5,0.69,0.39,13.5,3.9,-18.0,-1.5,-5.95,-1.7,-2.0,5.0,1.0,2.0,-9.3,-29.0,-7.0,-5.0,-2.0,-1.0,0.0,-3.85,0.4,-2.57,-0.1,-3.0,-7.0,30.5,0.0,0.0,0.003,0.0
CH,-4.0,-1.2,-1.5,-1.3,-1.6,0.18,-3.0,2.0,2.0,9.0,-1.3,174.0,-3.0,-4.0,-7.0,-8.2,0.0,-1.0,9.0,0.0,-23.0,-20.0,0.0,-30.0,-33.0,-2.0,-23.0,-5.0,-12.0,3.0,0.0,-0.29,2.56,10.0,-0.04,-0.01,-6.0,0.527,0.425,4.0,-1.8,3.0,-2.0,-1.0,69.0,0.0,3.0,1.5,0.69,0.39,13.5,3.9,-18.0,-1.5,-5.95,-1.7,-2.0,5.0,1.0,2.0,-9.3,-29.0,-7.0,-5.0,-2.0,-1.0,0.007,-5.98,-0.9,-2.28,0.1,-3.0,-7.0,11.4,0.0,0.0,0.001,0.0
HQ,3.0,3.2,2.4,1.4,3.6,0.05,3.0,4.0,1.0,9.0,1.2,24.0,1.0,1.0,1.0,1.4,2.0,7.0,5.0,0.0,2.0,4.0,2.0,13.0,4.0,13.0,2.0,4.0,8.0,4.0,2.0,0.37,0.32,11.0,0.08,0.12,0.0,0.63,0.614,4.0,-0.5,-4.0,6.0,2.0,93.0,0.0,0.0,1.22,0.79,0.92,21.2,6.4,2.0,-0.46,-2.24,1.4,1.0,0.0,4.0,0.0,-7.7,3.0,2.0,-0.5,2.0,1.0,0.044,-2.73,1.8,0.11,-0.4,1.0,1.0,-7.8,0.035,0.021,0.02,0.061
QH,3.0,3.2,2.4,1.4,3.6,0.05,3.0,4.0,1.0,9.0,1.2,24.0,1.0,1.0,1.0,1.4,2.0,7.0,5.0,0.0,2.0,4.0,2.0,13.0,4.0,13.0,2.0,4.0,8.0,4.0,2.0,0.37,0.32,11.0,0.08,0.12,0.0,0.63,0.614,4.0,-0.5,-4.0,6.0,2.0,93.0,0.0,0.0,1.22,0.79,0.92,21.2,6.4,2.0,-0.46,-2.24,1.4,1.0,0.0,4.0,0.0,-7.7,3.0,2.0,-0.5,2.0,1.0,0.022,-2.34,2.7,-0.1,0.4,1.0,1.0,-1.4,0.031,0.073,0.042,0.039
HE,-1.0,-0.2,-0.2,0.2,0.3,-0.19,1.0,2.0,2.0,5.0,0.4,40.0,0.0,0.0,0.0,-2.3,0.0,2.0,0.0,0.0,-3.0,-3.0,-1.0,-3.0,-5.0,16.0,-2.0,1.0,5.0,2.0,0.0,0.13,0.96,11.0,-0.14,-0.14,-2.0,0.121,-0.102,0.0,-0.6,-8.0,4.0,1.0,68.0,-1.0,-1.0,1.23,0.78,0.91,15.7,5.6,0.0,-0.62,-1.29,0.3,2.0,-11.0,3.0,-1.0,-7.8,2.0,-1.0,-3.0,-1.0,0.0,0.04,-2.77,-0.2,-0.1,0.4,0.0,-4.0,-10.7,0.011,0.01,0.011,0.0
EH,-1.0,-0.2,-0.2,0.2,0.3,-0.19,1.0,2.0,2.0,5.0,0.4,40.0,0.0,0.0,0.0,-2.3,0.0,2.0,0.0,0.0,-3.0,-3.0,-1.0,-3.0,-5.0,16.0,-2.0,1.0,5.0,2.0,0.0,0.13,0.96,11.0,-0.14,-0.14,-2.0,0.121,-0.102,0.0,-0.6,-8.0,4.0,1.0,68.0,-1.0,-1.0,1.23,0.78,0.91,15.7,5.6,0.0,-0.62,-1.29,0.3,2.0,-11.0,3.0,-1.0,-7.8,2.0,-1.0,-3.0,-1.0,0.0,0.01,-2.27,1.6,-0.47,-0.4,0.0,-4.0,-1.8,0.026,0.021,0.026,0.0
HG,-4.0,-2.1,-2.0,-1.6,-2.2,0.18,-2.0,1.0,2.0,9.0,-1.4,98.0,-2.0,-3.0,-4.0,-3.2,-2.0,-3.0,0.0,0.0,-13.0,-14.0,0.0,-32.0,-4.0,-3.0,-12.0,-1.0,-5.0,2.0,0.0,-0.19,2.78,7.0,0.06,0.09,-3.0,0.497,0.0,0.0,-1.2,-8.0,6.0,5.0,75.0,-1.0,1.0,1.1,0.71,1.4,12.2,3.8,-2.0,-0.4,-1.24,-1.7,3.0,-5.0,-1.0,-3.0,-7.7,-18.0,-4.0,-5.5,-3.0,-1.0,0.012,-2.09,-1.0,-1.19,-0.2,-2.0,-8.0,-7.5,0.007,0.002,0.01,0.003
GH,-4.0,-2.1,-2.0,-1.6,-2.2,0.18,-2.0,1.0,2.0,9.0,-1.4,98.0,-2.0,-3.0,-4.0,-3.2,-2.0,-3.0,0.0,0.0,-13.0,-14.0,0.0,-32.0,-4.0,-3.0,-12.0,-1.0,-5.0,2.0,0.0,-0.19,2.78,7.0,0.06,0.09,-3.0,0.497,0.0,0.0,-1.2,-8.0,6.0,5.0,75.0,-1.0,1.0,1.1,0.71,1.4,12.2,3.8,-2.0,-0.4,-1.24,-1.7,3.0,-5.0,-1.0,-3.0,-7.7,-18.0,-4.0,-5.5,-3.0,-1.0,0.008,-3.42,-0.9,-1.15,0.2,-2.0,-8.0,-2.9,0.017,0.007,0.042,0.0
HH,7.0,6.1,6.1,6.1,4.7,1.0,6.0,6.0,0.0,10.0,6.0,0.0,10.0,11.0,12.0,12.7,6.0,11.0,10.0,2.0,54.0,65.0,43.0,95.0,84.0,18.0,55.0,52.0,55.0,8.0,6.0,0.54,0.0,16.0,1.0,1.0,8.0,1.0,1.0,8.0,2.2,100.0,7.0,5.0,100.0,4.0,-4.0,0.99,0.99,1.05,30.8,11.2,23.0,5.89,15.72,6.8,5.0,-3.0,11.0,1.0,-6.1,86.0,11.0,10.0,9.0,6.0,0.572,-2.55,9.9,7.89,0.0,10.0,9.0,-0.7,0.571,0.332,0.284,0.705
IA,-1.0,0.1,-0.4,-0.8,-1.8,-0.1,-1.0,2.0,2.0,8.0,-0.8,94.0,-1.0,-2.0,-3.0,-2.2,0.0,0.0,0.0,0.0,1.0,-1.0,-5.0,-2.0,-2.0,-8.0,-1.0,-6.0,-7.0,2.0,0.0,-0.45,2.69,9.0,-0.25,-0.26,-2.0,0.476,0.888,5.0,1.7,-17.0,-6.0,-3.0,91.0,0.0,1.0,1.08,1.11,0.51,17.2,4.4,0.0,-0.97,-1.72,0.3,-2.0,1.0,0.0,1.0,-7.1,-5.0,0.0,0.0,-1.0,-1.0,0.024,-3.54,4.1,-0.31,0.8,-1.0,-4.0,12.7,0.029,0.04,0.014,0.043
AI,-1.0,0.1,-0.4,-0.8,-1.8,-0.1,-1.0,2.0,2.0,8.0,-0.8,94.0,-1.0,-2.0,-3.0,-2.2,0.0,0.0,0.0,0.0,1.0,-1.0,-5.0,-2.0,-2.0,-8.0,-1.0,-6.0,-7.0,2.0,0.0,-0.45,2.69,9.0,-0.25,-0.26,-2.0,0.476,0.888,5.0,1.7,-17.0,-6.0,-3.0,91.0,0.0,1.0,1.08,1.11,0.51,17.2,4.4,0.0,-0.97,-1.72,0.3,-2.0,1.0,0.0,1.0,-7.1,-5.0,0.0,0.0,-1.0,-1.0,0.021,-1.42,5.1,-0.08,-0.8,-1.0,-4.0,23.0,0.077,0.029,0.053,0.039
IR,-2.0,-3.8,-3.2,-2.6,-1.2,-0.29,-2.0,2.0,2.0,3.0,-2.4,97.0,-3.0,-4.0,-5.0,-5.4,-3.0,-3.0,0.0,-1.0,-4.0,-4.0,-3.0,-1.0,-2.0,-14.0,-6.0,-6.0,-9.0,1.0,0.0,-0.82,2.49,4.0,0.05,0.06,-3.0,0.305,0.108,0.0,1.4,-25.0,-11.0,-10.0,4.0,-2.0,1.0,0.91,1.23,0.69,14.3,2.8,-7.0,-1.4,-3.93,-1.9,-7.0,1.0,0.0,1.0,-7.7,-28.0,-6.0,-5.5,-4.0,-2.0,0.011,-7.1,-2.9,-4.43,-0.2,-4.0,-5.0,-5.6,0.015,0.015,0.015,0.008
RI,-2.0,-3.8,-3.2,-2.6,-1.2,-0.29,-2.0,2.0,2.0,3.0,-2.4,97.0,-3.0,-4.0,-5.0,-5.4,-3.0,-3.0,0.0,-1.0,-4.0,-4.0,-3.0,-1.0,-2.0,-14.0,-6.0,-6.0,-9.0,1.0,0.0,-0.82,2.49,4.0,0.05,0.06,-3.0,0.305,0.108,0.0,1.4,-25.0,-11.0,-10.0,4.0,-2.0,1.0,0.91,1.23,0.69,14.3,2.8,-7.0,-1.4,-3.93,-1.9,-7.0,1.0,0.0,1.0,-7.7,-28.0,-6.0,-5.5,-4.0,-2.0,0.02,-8.02,0.5,-3.98,0.2,-4.0,-5.0,12.3,0.01,0.008,0.017,0.004
IN,-2.0,-2.5,-2.7,-2.8,0.9,-0.37,-2.0,2.0,1.0,7.0,-2.8,149.0,-2.0,-5.0,-6.0,-4.7,-2.0,-3.0,0.0,-1.0,-3.0,-3.0,-6.0,0.0,-8.0,-14.0,-4.0,-7.0,-12.0,1.0,0.0,-0.83,3.37,5.0,-0.06,-0.07,-3.0,0.452,-0.101,0.0,0.9,-32.0,-11.0,-11.0,51.0,-1.0,2.0,0.89,1.12,1.0,14.8,2.4,-8.0,-2.43,-5.78,-2.4,-9.0,-4.0,-8.0,-7.0,-7.6,-32.0,-3.0,-4.0,-4.0,-3.0,0.006,-11.57,-3.8,-4.41,0.2,-3.0,-4.0,-11.3,0.018,0.025,0.018,0.015
NI,-2.0,-2.5,-2.7,-2.8,0.9,-0.37,-2.0,2.0,1.0,7.0,-2.8,149.0,-2.0,-5.0,-6.0,-4.7,-2.0,-3.0,0.0,-1.0,-3.0,-3.0,-6.0,0.0,-8.0,-14.0,-4.0,-7.0,-12.0,1.0,0.0,-0.83,3.37,5.0,-0.06,-0.07,-3.0,0.452,-0.101,0.0,0.9,-32.0,-11.0,-11.0,51.0,-1.0,2.0,0.89,1.12,1.0,14.8,2.4,-8.0,-2.43,-5.78,-2.4,-9.0,-4.0,-8.0,-7.0,-7.6,-32.0,-3.0,-4.0,-4.0,-3.0,0.014,-10.75,-0.4,-4.39,-0.2,-3.0,-4.0,8.6,0.012,0.008,0.031,0.006
ID,-3.0,-4.2,-4.0,-3.9,-2.1,-0.54,-2.0,1.0,2.0,3.0,-3.8,168.0,-4.0,-5.0,-7.0,-4.8,-3.0,-3.0,0.0,-1.0,-7.0,-6.0,-9.0,-13.0,-10.0,-22.0,-9.0,-12.0,-17.0,0.0,0.0,-0.78,3.98,3.0,-0.28,-0.29,-3.0,0.242,-0.185,0.0,0.0,-39.0,-14.0,-12.0,23.0,-4.0,-1.0,0.93,1.06,1.04,13.7,1.4,-9.0,-2.77,-6.18,-2.9,-9.0,-4.0,-7.0,-3.0,-8.3,-34.0,-5.0,-6.5,-6.0,-4.0,0.003,-13.36,-5.9,-5.36,0.0,-4.0,-6.0,-15.0,0.009,0.044,0.017,0.009
DI,-3.0,-4.2,-4.0,-3.9,-2.1,-0.54,-2.0,1.0,2.0,3.0,-3.8,168.0,-4.0,-5.0,-7.0,-4.8,-3.0,-3.0,0.0,-1.0,-7.0,-6.0,-9.0,-13.0,-10.0,-22.0,-9.0,-12.0,-17.0,0.0,0.0,-0.78,3.98,3.0,-0.28,-0.29,-3.0,0.242,-0.185,0.0,0.0,-39.0,-14.0,-12.0,23.0,-4.0,-1.0,0.93,1.06,1.04,13.7,1.4,-9.0,-2.77,-6.18,-2.9,-9.0,-4.0,-7.0,-3.0,-8.3,-34.0,-5.0,-6.5,-6.0,-4.0,0.003,-13.72,-1.6,-4.98,0.0,-4.0,-6.0,5.3,0.009,0.017,0.033,0.007
IC,-3.0,-3.6,-2.4,-1.2,-1.9,0.26,-2.0,2.0,2.0,9.0,-1.1,198.0,-3.0,-2.0,-2.0,-7.7,-2.0,-1.0,0.0,0.0,-13.0,-17.0,4.0,3.0,-26.0,-29.0,-13.0,5.0,-30.0,1.0,0.0,-0.13,1.63,8.0,-0.15,-0.16,-4.0,-0.029,0.717,4.0,-1.6,12.0,2.0,4.0,93.0,0.0,1.0,1.24,0.96,0.43,20.9,4.1,-3.0,0.13,-0.13,-3.2,4.0,-1.0,1.0,-4.0,-9.0,-6.0,-3.0,-0.5,-1.0,0.0,0.0,0.31,4.8,1.3,0.1,-2.0,-5.0,39.5,0.014,0.01,0.016,0.007
CI,-3.0,-3.6,-2.4,-1.2,-1.9,0.26,-2.0,2.0,2.0,9.0,-1.1,198.0,-3.0,-2.0,-2.0,-7.7,-2.0,-1.0,0.0,0.0,-13.0,-17.0,4.0,3.0,-26.0,-29.0,-13.0,5.0,-30.0,1.0,0.0,-0.13,1.63,8.0,-0.15,-0.16,-4.0,-0.029,0.717,4.0,-1.6,12.0,2.0,4.0,93.0,0.0,1.0,1.24,0.96,0.43,20.9,4.1,-3.0,0.13,-0.13,-3.2,4.0,-1.0,1.0,-4.0,-9.0,-6.0,-3.0,-0.5,-1.0,0.0,0.021,4.64,4.0,0.06,-0.1,-2.0,-5.0,31.0,0.004,0.003,0.004,0.003
IQ,-3.0,-3.8,-2.7,-2.0,-1.9,-0.43,-2.0,1.0,3.0,7.0,-1.9,109.0,-2.0,-4.0,-5.0,-7.0,-3.0,-4.0,0.0,-1.0,-3.0,-4.0,-4.0,0.0,-7.0,-14.0,-4.0,-6.0,-13.0,0.0,0.0,-0.95,2.57,6.0,-0.13,-0.15,-5.0,0.372,0.511,2.0,1.4,-20.0,-12.0,-12.0,55.0,0.0,3.0,1.02,1.1,0.7,15.8,3.3,-7.0,-1.47,-3.26,-0.9,-7.0,1.0,-3.0,0.0,-7.9,-30.0,-3.0,-3.5,-4.0,-2.0,0.009,-8.69,-2.4,-4.51,0.5,-3.0,-7.0,-9.0,0.007,0.01,0.009,0.008
QI,-3.0,-3.8,-2.7,-2.0,-1.9,-0.43,-2.0,1.0,3.0,7.0,-1.9,109.0,-2.0,-4.0,-5.0,-7.0,-3.0,-4.0,0.0,-1.0,-3.0,-4.0,-4.0,0.0,-7.0,-14.0,-4.0,-6.0,-13.0,0.0,0.0,-0.95,2.57,6.0,-0.13,-0.15,-5.0,0.372,0.511,2.0,1.4,-20.0,-12.0,-12.0,55.0,0.0,3.0,1.02,1.1,0.7,15.8,3.3,-7.0,-1.47,-3.26,-0.9,-7.0,1.0,-3.0,0.0,-7.9,-30.0,-3.0,-3.5,-4.0,-2.0,0.014,-8.94,1.2,-4.13,-0.5,-3.0,-7.0,11.2,0.004,0.008,0.017,0.001
IE,-3.0,-4.1,-3.6,-2.9,-2.3,-0.51,-2.0,1.0,3.0,3.0,-2.7,134.0,-3.0,-5.0,-6.0,-4.8,-3.0,-4.0,0.0,-1.0,-3.0,-5.0,-10.0,-2.0,-7.0,-18.0,-5.0,-10.0,-13.0,1.0,0.0,-0.86,3.39,4.0,-0.14,-0.13,-3.0,0.212,-0.135,0.0,1.5,-36.0,-11.0,-10.0,29.0,-4.0,-1.0,0.96,1.15,0.74,14.9,2.5,-8.0,-1.81,-5.89,-3.1,-9.0,-4.0,-3.0,-3.0,-8.3,-33.0,-5.0,-7.0,-5.0,-3.0,0.01,-10.38,-5.7,-6.08,-0.5,-4.0,-5.0,-13.5,0.008,0.021,0.014,0.032
EI,-3.0,-4.1,-3.6,-2.9,-2.3,-0.51,-2.0,1.0,3.0,3.0,-2.7,134.0,-3.0,-5.0,-6.0,-4.8,-3.0,-4.0,0.0,-1.0,-3.0,-5.0,-10.0,-2.0,-7.0,-18.0,-5.0,-10.0,-13.0,1.0,0.0,-0.86,3.39,4.0,-0.14,-0.13,-3.0,0.212,-0.135,0.0,1.5,-36.0,-11.0,-10.0,29.0,-4.0,-1.0,0.96,1.15,0.74,14.9,2.5,-8.0,-1.81,-5.89,-3.1,-9.0,-4.0,-3.0,-3.0,-8.3,-33.0,-5.0,-7.0,-5.0,-3.0,0.009,-10.89,-0.3,-4.95,0.5,-4.0,-5.0,8.7,0.011,0.012,0.026,0.005
IG,-4.0,-3.4,-3.8,-4.3,-2.5,-0.22,-3.0,2.0,2.0,7.0,-4.5,135.0,-4.0,-6.0,-7.0,-5.5,-3.0,-2.0,0.0,-1.0,-16.0,-20.0,-5.0,-6.0,-8.0,-9.0,-18.0,-8.0,-11.0,1.0,0.0,-0.58,3.6,6.0,-0.23,-0.24,-5.0,0.429,0.0,0.0,0.0,-21.0,-10.0,-8.0,87.0,-2.0,2.0,0.79,1.25,0.98,14.7,0.7,-3.0,-2.93,-8.58,-3.7,-7.0,0.0,-4.0,-1.0,-8.0,-41.0,-2.0,-2.5,-7.0,-4.0,0.011,-12.05,-2.5,-3.12,0.0,-4.0,-9.0,-12.7,0.021,0.02,0.006,0.017
GI,-4.0,-3.4,-3.8,-4.3,-2.5,-0.22,-3.0,2.0,2.0,7.0,-4.5,135.0,-4.0,-6.0,-7.0,-5.5,-3.0,-2.0,0.0,-1.0,-16.0,-20.0,-5.0,-6.0,-8.0,-9.0,-18.0,-8.0,-11.0,1.0,0.0,-0.58,3.6,6.0,-0.23,-0.24,-5.0,0.429,0.0,0.0,0.0,-21.0,-10.0,-8.0,87.0,-2.0,2.0,0.79,1.25,0.98,14.7,0.7,-3.0,-2.93,-8.58,-3.7,-7.0,0.0,-4.0,-1.0,-8.0,-41.0,-2.0,-2.5,-7.0,-4.0,0.007,-11.8,-1.2,-4.03,0.0,-4.0,-9.0,7.8,0.022,0.016,0.024,0.013
