wild_mut,H ALTS910101,H BENS940101,H BENS940102,H BENS940103,H BENS940104,H CSEM940101,H DAYM780301,H FEND850101,H FITW660101,H GEOD900101,H GONG920101,H GRAR740104,H HENS920101,H HENS920102,H HENS920103,H JOHM930101,H JOND920103,H JOND940101,H KOLA920101,H LEVJ860101,H LUTR910101,H LUTR910102,H LUTR910103,H LUTR910104,H LUTR910105,H LUTR910106,H LUTR910107,H LUTR910108,H LUTR910109,H MCLA710101,H MCLA720101,H MIYS930101,H MIYT790101,H MOHR870101,H NIEK910101,H NIEK910102,H OVEJ920101,H QU_C930101,H QU_C930102,H QU_C930103,H RISJ880101,H TUDE900101,H AZAE970101,H AZAE970102,H RIER950101,H WEIL970101,H WEIL970102,H MEHP950101,H MEHP950102,H MEHP950103,H KAPO950101,H VOGG950101,H BLAJ010101,H PRLA000101,H PRLA000102,H QUIB020101,H NAOD960101,H RUSR970101,H RUSR970102,H RUSR970103,H OGAK980101,H KANM000101,H NGPC000101,H MUET010101,H MUET020101,H MUET020102,H LINK010101,H DOSZ010102,H DOSZ010103,H DOSZ010104,H GIAG010101,H HENS920104,H DAYM780302,H DOSZ010101,H OVEJ920102,H OVEJ920103,H OVEJ920104,H OVEJ920105
AD,0.0,-0.6,-0.2,-0.3,1.0,-0.08,0.0,4.0,1.0,5.0,-0.3,126.0,-2.0,-3.0,-3.0,-1.6,0.0,0.0,0.0,0.0,1.0,6.0,-2.0,-1.0,-4.0,4.0,2.0,0.0,-1.0,3.0,0.0,0.04,2.37,9.0,0.05,0.07,-1.0,0.299,-0.018,0.0,0.2,3.0,0.0,0.0,33.0,-2.0,0.0,1.31,0.56,1.23,18.2,4.9,0.0,-0.73,-2.38,1.0,0.0,0.0,-1.0,-1.0,-6.9,-20.0,-5.0,-6.5,-1.0,0.0,0.033,-7.73,-2.8,-2.43,-1.0,-2.0,-3.0,-10.7,0.09,0.025,0.055,0.025
DR,-3.0,-1.5,-1.0,-0.5,-2.3,-0.01,-1.0,2.0,2.0,9.0,-0.3,96.0,-1.0,-2.0,-3.0,-3.4,-1.0,1.0,0.0,0.0,-2.0,8.0,0.0,5.0,0.0,-1.0,1.0,3.0,2.0,1.0,0.0,-0.06,2.34,10.0,-0.08,-0.08,-2.0,-0.109,-0.054,-1.0,-0.1,2.0,13.0,9.0,81.0,-1.0,1.0,1.18,0.63,1.41,18.2,4.9,-2.0,0.13,-0.33,0.1,4.0,3.0,0.0,0.0,-7.3,-18.0,-7.0,-9.5,-3.0,-1.0,0.012,-1.93,-0.4,-0.33,-0.9,-2.0,-9.0,-7.2,0.023,0.01,0.025,0.0
RD,-3.0,-1.5,-1.0,-0.5,-2.3,-0.01,-1.0,2.0,2.0,9.0,-0.3,96.0,-1.0,-2.0,-3.0,-3.4,-1.0,1.0,0.0,0.0,-2.0,8.0,0.0,5.0,0.0,-1.0,1.0,3.0,2.0,1.0,0.0,-0.06,2.34,10.0,-0.08,-0.08,-2.0,-0.109,-0.054,-1.0,-0.1,2.0,13.0,9.0,81.0,-1.0,1.0,1.18,0.63,1.41,18.2,4.9,-2.0,0.13,-0.33,0.1,4.0,3.0,0.0,0.0,-7.3,-18.0,-7.0,-9.5,-3.0,-1.0,0.012,-1.92,-1.6,-0.6,0.9,-2.0,-9.0,-9.0,0.012,0.006,0.015,0.0
DN,2.0,2.5,2.4,2.2,1.7,0.56,2.0,5.0,1.0,6.0,2.2,23.0,2.0,2.0,2.0,2.6,2.0,6.0,9.0,1.0,4.0,8.0,4.0,11.0,9.0,18.0,5.0,7.0,13.0,5.0,3.0,0.2,0.65,11.0,0.3,0.35,2.0,0.037,0.452,3.0,0.8,32.0,16.0,12.0,73.0,0.0,-1.0,1.08,0.69,1.52,21.4,7.4,5.0,1.78,4.07,3.3,8.0,2.0,5.0,1.0,-6.3,18.0,2.0,-0.5,3.0,2.0,0.07,3.82,2.2,3.25,1.3,2.0,2.0,-2.7,0.088,0.095,0.094,0.112
ND,2.0,2.5,2.4,2.2,1.7,0.56,2.0,5.0,1.0,6.0,2.2,23.0,2.0,2.0,2.0,2.6,2.0,6.0,9.0,1.0,4.0,8.0,4.0,11.0,9.0,18.0,5.0,7.0,13.0,5.0,3.0,0.2,0.65,11.0,0.3,0.35,2.0,0.037,0.452,3.0,0.8,32.0,16.0,12.0,73.0,0.0,-1.0,1.08,0.69,1.52,21.4,7.4,5.0,1.78,4.07,3.3,8.0,2.0,5.0,1.0,-6.3,18.0,2.0,-0.5,3.0,2.0,0.097,3.2,1.9,3.48,-1.3,2.0,2.0,-4.8,0.057,0.092,0.08,0.071
DD,5.0,5.2,4.8,4.8,4.8,1.0,4.0,6.0,0.0,10.0,4.7,0.0,7.0,9.0,10.0,8.5,5.0,12.0,10.0,2.0,29.0,17.0,23.0,71.0,38.0,80.0,27.0,28.0,49.0,8.0,5.0,0.36,0.0,16.0,1.0,1.0,6.0,1.0,1.0,8.0,2.2,100.0,26.0,16.0,100.0,4.0,-2.0,1.11,0.66,1.43,25.9,9.9,17.0,4.02,11.01,5.3,11.0,-2.0,5.0,0.0,-5.0,65.0,12.0,9.0,7.0,5.0,0.522,8.58,7.3,9.44,0.0,8.0,7.0,0.2,0.315,0.35,0.284,0.775
CA,-3.0,-1.7,-1.2,0.3,-1.9,0.04,-2.0,2.0,2.0,9.0,0.5,195.0,-1.0,-1.0,-1.0,-3.4,-1.0,0.0,0.0,0.0,-5.0,1.0,2.0,8.0,-22.0,0.0,-5.0,4.0,-5.0,1.0,0.0,-0.51,1.39,11.0,-0.35,-0.38,-2.0,0.27,0.799,5.0,-1.5,4.0,5.0,2.0,98.0,0.0,0.0,1.41,0.75,0.49,21.5,5.7,-5.0,0.33,0.45,1.2,2.0,2.0,2.0,2.0,-7.7,6.0,1.0,2.5,1.0,1.0,0.035,-1.72,2.7,-0.65,0.4,-1.0,-6.0,19.2,0.001,0.0,0.002,0.007
AC,-3.0,-1.7,-1.2,0.3,-1.9,0.04,-2.0,2.0,2.0,9.0,0.5,195.0,-1.0,-1.0,-1.0,-3.4,-1.0,0.0,0.0,0.0,-5.0,1.0,2.0,8.0,-22.0,0.0,-5.0,4.0,-5.0,1.0,0.0,-0.51,1.39,11.0,-0.35,-0.38,-2.0,0.27,0.799,5.0,-1.5,4.0,5.0,2.0,98.0,0.0,0.0,1.41,0.75,0.49,21.5,5.7,-5.0,0.33,0.45,1.2,2.0,2.0,2.0,2.0,-7.7,6.0,1.0,2.5,1.0,1.0,0.0,0.83,3.8,0.01,-0.4,-1.0,-6.0,38.6,0.007,0.0,0.013,0.022
CR,-4.0,-0.4,-1.6,-2.2,0.7,-0.2,-4.0,2.0,1.0,4.0,-2.2,180.0,-3.0,-5.0,-6.0,-5.6,-1.0,-1.0,0.0,0.0,-6.0,-10.0,2.0,-1.0,-28.0,-7.0,-9.0,1.0,-19.0,1.0,0.0,-0.35,3.06,8.0,-0.17,-0.2,-2.0,0.273,0.113,0.0,-1.5,-12.0,-9.0,-7.0,11.0,-1.0,2.0,1.21,0.84,0.82,14.4,3.0,-16.0,-1.3,-6.29,-1.3,-5.0,-3.0,-1.0,-4.0,-8.3,-29.0,-8.0,-5.0,-3.0,-2.0,0.012,-8.93,-3.0,-3.48,-0.2,-4.0,-7.0,-6.6,0.006,0.015,0.008,0.0
RC,-4.0,-0.4,-1.6,-2.2,0.7,-0.2,-4.0,2.0,1.0,4.0,-2.2,180.0,-3.0,-5.0,-6.0,-5.6,-1.0,-1.0,0.0,0.0,-6.0,-10.0,2.0,-1.0,-28.0,-7.0,-9.0,1.0,-19.0,1.0,0.0,-0.35,3.06,8.0,-0.17,-0.2,-2.0,0.273,0.113,0.0,-1.5,-12.0,-9.0,-7.0,11.0,-1.0,2.0,1.21,0.84,0.82,14.4,3.0,-16.0,-1.3,-6.29,-1.3,-5.0,-3.0,-1.0,-4.0,-8.3,-29.0,-8.0,-5.0,-3.0,-2.0,0.001,-9.95,-0.6,-3.62,0.2,-4.0,-7.0,23.8,0.011,0.011,0.023,0.009
